platform_name,certificate_url,partner_name,syllabus_url,theorical_workload_h,skills,main_cert,certificate_issue_date,final_certification,personal_score,level,name
coursera,https://www.coursera.org/account/accomplishments/certificate/P7MD4CWD2FD7,DeepLearning.AI,https://www.coursera.org/specializations/tensorflow-in-practice,22,"['TensorFlow', 'Forecasting', 'Time Series', 'Machine Learning']",DeepLearning.AI TensorFlow Developer,2022-05-12,no,100.0,intermediate,"Sequences, Time Series and Prediction"
coursera,https://www.coursera.org/account/accomplishments/certificate/9U8VGA3BM3GG,DeepLearning.AI,https://www.coursera.org/learn/natural-language-processing-tensorflow?specialization=tensorflow-in-practice,24,"['TensorFlow', 'RNNs', 'Machine Learning', 'Tokenization', 'Natural Language Processing']",DeepLearning.AI TensorFlow Developer,2022-05-10,no,98.6,intermediate,Natural Language Processing in TensorFlow
coursera,https://www.coursera.org/account/accomplishments/certificate/X54TXX6LLTG6,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow?specialization=tensorflow-in-practice,16,"['TensorFlow', 'Machine Learning', 'Dropouts', 'Data Augmentation']",DeepLearning.AI TensorFlow Developer,2022-05-06,no,99.6,intermediate,Convolutional Neural Networks in TensorFlow
coursera,https://www.coursera.org/account/accomplishments/certificate/ZR6YWAUUDCGA,DeepLearning.AI,https://www.coursera.org/learn/introduction-tensorflow?specialization=tensorflow-in-practice,17,"['Computer Vision', 'TensorFlow', 'Machine Learning']",DeepLearning.AI TensorFlow Developer,2022-05-04,no,100.0,intermediate,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning"
coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/8CCLNMCCJQEW,DeepLearning.AI,https://www.coursera.org/specializations/tensorflow-in-practice,79,"['Computer Vision', 'Convolutional Neural Network', 'Machine Learning', 'Natural Language Processing']",,2022-05-12,yes,99.55,intermediate,DeepLearning.AI TensorFlow Developer
coursera,https://www.coursera.org/account/accomplishments/certificate/JD82NDHC5DP6,DeepLearning.AI,https://www.coursera.org/learn/apply-generative-adversarial-networks-gans?specialization=generative-adversarial-networks-gans,25,"['Convolutional Neural Network', 'Image-to-Image Translation', 'CycleGAN', 'Privacy Preservation', 'Pix2Pix']",Generative Adversarial Networks (GANs) Specialization,2023-04-05,no,98.5,intermediate,Apply Generative Adversarial Networks (GANs)
coursera,https://www.coursera.org/account/accomplishments/certificate/QGKCY6UMBQG8,DeepLearning.AI,https://www.coursera.org/learn/build-better-generative-adversarial-networks-gans?specialization=generative-adversarial-networks-gans,28,"['StyleGAN', 'GAN Evaluation', 'Bias in GAN']",Generative Adversarial Networks (GANs) Specialization,2023-04-05,no,100.0,intermediate,Build Better Generative Adversarial Networks (GANs)
coursera,https://www.coursera.org/account/accomplishments/certificate/EANXYG83VQ9V,DeepLearning.AI,https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans?specialization=generative-adversarial-networks-gans,30,"['WGAN', 'DCGAN', 'Conditional Generation', 'Controllable Generation']",Generative Adversarial Networks (GANs) Specialization,2023-04-02,no,100.0,intermediate,Build Basic Generative Adversarial Networks (GANs)
coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/JLJ7HG7L4A7A,DeepLearning.AI,https://www.coursera.org/specializations/generative-adversarial-networks-gans,83,"['Generative Adversarial Networks', 'Image-to-Image Translation']",,2023-04-05,yes,99.5,intermediate,Generative Adversarial Networks (GANs) Specialization
coursera,https://www.coursera.org/account/accomplishments/certificate/58R9JC2S49G5,Imperial College London,https://www.coursera.org/learn/pca-machine-learning?specialization=mathematics-machine-learning,20,"['Dimensionality Reduction', 'Python Programming', 'Linear Algebra']",Mathematics for Machine Learning,2020-05-24,no,98.5,beginner,Mathematics for Machine Learning: PCA
coursera,https://www.coursera.org/account/accomplishments/certificate/3K3AD9V9PCJ8,Imperial College London,https://www.coursera.org/learn/multivariate-calculus-machine-learning?specialization=mathematics-machine-learning,17,"['Linear Regression', 'Vector Calculus', 'Multivariable Calculus', 'Gradient Descent']",Mathematics for Machine Learning,2020-05-19,no,98.0,beginner,Mathematics for Machine Learning: Multivariate Calculus
coursera,https://www.coursera.org/account/accomplishments/certificate/NCDVN52F8NCD,Imperial College London,https://www.coursera.org/learn/linear-algebra-machine-learning?specialization=mathematics-machine-learning,18,"['Eigenvalues And Eigenvectors', 'Linear Algebra', 'Transformation Matrix']",Mathematics for Machine Learning,2020-04-23,no,98.0,beginner,Mathematics for Machine Learning: Linear Algebra
coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/NBW3KZWF7PDH,Imperial College London,https://www.coursera.org/specializations/mathematics-machine-learning,55,"['Eigenvalues And Eigenvectors', 'Linear Algebra', 'Principal Component Analysis (PCA)', 'Multivariable Calculus']",,2020-05-20,yes,98.17,beginner,Mathematics for Machine Learning
